0,0.013,-0.014,0.004,0.001,0.009,0.001,0.002,0,-0,0,-0.004,0.066,0.018,0.002,0.027,-0.026,0.008,0.016,0.009,0.04,0.069,0.032,0.023,0.029,0.024,0.011,0.004,-0.005,0.008,0.146,0.069,0.074,-0,0.042,0.01,0.027,0.005,0.015,0.01,0.053,0.031,0.015,0.013,0.013,0.008,0.006,0.006,0.005,0.004,
0,0,0.004,0.02,0.016,0.002,0.008,0.007,0.007,0.006,0,0.018,0.06,0.03,0.024,0.032,0.021,0.019,-0.042,0.007,0.017,0.112,0.038,0.024,0.014,-0.004,0.015,0.008,0.009,0.008,0.007,0.059,0.041,-0,0.033,0.015,-0.003,0.011,0.007,-0.009,0.003,0.028,0.053,0.035,0.005,0.013,0.008,0.007,0.006,0.005,
0,0.008,0.01,0.041,0.042,0.007,0.016,0.015,0.013,0.008,0.013,0.037,0.019,0.003,0.007,0.008,0.003,0.004,-0.002,0.004,0.033,0.033,0.005,0.012,0.015,0.004,0,0.001,0,-0.004,-0.057,0.04,0.014,0.012,0.013,0.008,0.001,0,0,0,0,0.232,0.124,0.07,0.048,0.045,0.002,0.016,0.012,0.033,
0,0.002,0.057,-0.019,0.012,0.029,0.009,0.007,0.011,0.005,0,-0.026,0.032,-0.028,0.046,0.025,0.011,0.029,0.012,0.004,0,0.077,-0.01,0.024,0.01,0.001,0,0.006,-0.01,0.014,0.015,0.036,0.015,0.001,0.005,0.008,0.007,0,0,0,0,0.052,0.03,0.022,0.017,0.011,0.012,0.01,0.009,0.008,
0,0,0,0.001,0.002,-0.001,-0.002,0.003,0.001,-0.002,0,0.003,0.005,0.003,0.001,0,0.001,0.003,0.001,0.001,0,-0.001,0.1,0.085,0.044,0.017,0.008,0.041,0.03,0.009,0,0.018,0.07,-0.031,0.026,0.024,0.007,0.014,0.005,0.006,0.018,-0.015,0.069,0.015,0.03,0.011,0.01,0.007,0.006,0.006,
0,0.072,0.096,0.057,0.042,0.01,-0.001,-0.002,-0.008,0.015,0,0.116,0.05,0.018,0.026,-0.006,0.013,0.012,0.002,0.001,0,0.139,0.046,0.01,-0.009,0.005,0,0.013,0.005,0.004,0,0.165,0.038,0.071,0.011,-0.002,0.005,0.023,0.007,0.001,0,0.083,0.096,0.022,0.009,0.006,0.004,0.004,0.004,0.008,
0,0.024,0.014,0.005,0.004,0.001,0.002,0.001,0.001,0.001,0,-0.022,0.081,0.027,0.017,0.024,0.01,0.006,0,0,0,0.01,-0.171,0.032,0.066,0.046,0.009,-0.013,0.004,0.01,0.055,0.014,0.009,0.007,0.004,0.005,0.004,0.001,0.001,0,0.007,0.135,0.046,0.02,0.014,0.013,0.011,0.009,0.008,0.007,
0,0.121,0.046,0.063,0.047,0.002,-0.019,0.016,0.011,0.004,0,0.102,0.088,0.022,0.021,0.014,0.016,0.014,0.003,-0.001,0.002,0.025,0.018,0.002,0.003,-0.002,0.002,0,0,0,0.023,0.024,0.021,0.006,0.023,0.004,0.001,0.002,0.002,0.001,-0.041,0.204,0.205,0.116,0.032,0.036,0.032,0.018,0.029,0.014,
0,-0.008,-0.025,0.034,0.004,-0.004,-0.016,0.007,-0,0.008,0,0.012,0.014,-0.004,0.013,0.006,-0.02,0.007,0.003,0.001,0,-0.023,0.042,0.043,0.057,0.017,0.011,0.004,0.01,0.001,0.04,0.092,0.047,0.051,0.04,0.027,0.021,0.014,0.007,0.009,0.02,0.022,0.038,0.044,0.012,-0.006,0.017,0.015,0.018,0.016,
-0.022,0.001,0.001,0.001,0,0,0,0,0,0,0,0.019,0.037,0.038,0.028,0.022,0.011,0.016,0.008,0.011,0,0.038,0.011,0.063,0.06,0.015,0.015,0.007,0.04,-0.011,0.025,0.153,0.056,0.097,0.02,0.008,0.005,0.011,0.01,0.004,0.032,0.036,0.013,0.011,0.023,0.013,0.01,0.009,0.007,0.007,
0,0.067,0.007,0.001,0.004,0.01,0.004,0,-0.018,0.001,0,0.037,-0.002,0.015,0.008,0.021,0.015,0.003,0.007,0.008,0,0.124,0.085,0.022,-0.008,0.003,-0.005,0.014,0.01,0.004,0,-0.1,0.049,-0.003,0.017,-0.005,-0.042,0.01,0.004,-0.005,0,0.062,0.03,0.041,0.006,-0,0.02,0.011,0,0.001,
0,0.017,0.005,0.002,0.011,0.018,0.001,-0.002,-0.002,0.002,0,0.071,-0.023,0.027,-0.042,-0.03,-0.005,0.003,-0.004,-0.004,0.001,0.036,-0.012,0.022,0.019,0.002,0.002,0.014,-0.008,0.006,0,-0.041,0.006,0.047,0.006,0.028,0.009,-0.003,0.003,-0.003,0.04,0.071,0.066,0.05,0.039,0.023,0.026,0.022,0.02,0.018,
0,0.023,-0.008,0.005,0.007,0.002,0.001,0.001,0,0.001,0,0.021,-0.043,0.035,0.027,-0.006,-0.001,0.007,0.02,0.005,0,0.031,0.067,0.017,0.013,0.003,0.007,0.005,0.001,0,0.032,0.06,0.025,0.04,0.02,0.009,0.008,0.014,0.006,0.006,0.01,0.035,0.056,0.031,0.013,0.005,0.031,0.01,0.007,0.01,
0,0.065,-0.009,0.031,0.021,-0.011,-0.005,0.016,-0.008,-0.009,0,-0.013,-0.012,0.002,0.003,0.003,0.002,0,0.003,0.001,0,0.008,0.042,0.039,0.052,0.028,-0.052,0.019,-0.022,-0.018,0.012,0.102,0.042,0.016,0.013,0.028,0.006,0,-0.028,0.011,0.004,0.07,0.069,0.055,0.045,0.029,0.027,0.024,0.022,0.019,
